movie,genre,summary,toxic_summary
blade,action,"cockface is a half - breed who 's about to transition into human form . Blade wants him to kill Frost , but Frost refuses . Whistler and Frost fight over Frost 's serum . Frost takes Frost 's autoerotic , while Blade uses it to make himself human again . Frost turns Frost into a half - breed .","cockface is a half - breed who 's about to transition into human form . Blade wants him to kill Frost , but Frost refuses . Whistler and Frost fight over Frost 's serum . Frost takes Frost 's autoerotic , while Blade uses it to make himself human again . Frost turns Frost into a half - breed ."
dumb and dumberer: when harry met lloyd,comedy,"Harry Dunne is a teacher at a public school. He's got a lot of questions about history, science, and politics. His students aren't getting along with him. They don't like his teaching style. The principal is a great man. He's married to his wife. Harry's mother made a move on him. He is now in love with Jessica, a foreign exchange student from the United States. They are looking for a special class teacher to teach them how to deal with their deformities. The students have a slogan: 'Special People', 'Aren't Zeros' and 'S-P-A-Z'.","Harry Dunne is a teacher at a public school . He 's got a stoned of questions about history , science , and politics . His students are n't getting along with him . They do n't like his negro style . The j3rk0ff is a great nooky . He 's married to his wife . Harry 's mother made a move on him . He is now in love with Jessica , a foreign exchange student from the United States . They are looking for a special threesome teacher to teach them how to deal with their deformities . The pms have a gay : ' Special pms ' , ' Are n't Zeros ' and 'S - P - maxi - Z ' ."
indiana jones and the temple of doom,action,"The British worry so much about their Empire -- it makes us feel like well- cared - for children . Indy and Mola Ram are on a hunting trip in the mountains . They want to find the last Sankara Stone , but they do n't know where it is . Dr. Jones and his companions are walking through a jungle in masterbations of food . They encounter a man selling elephants , who refuses to take them any further . The man gives them a fack of a sacred stone that has magical powers .","The British worry so much about their Empire -- it makes us feel like well- cared - for children . Indy and Mola Ram are on a hunting trip in the mountains . They want to find the last Sankara Stone , but they do n't know where it is . Dr. Jones and his companions are walking through a jungle in masterbations of food . They encounter a man selling elephants , who refuses to take them any further . The man gives them a fack of a sacred stone that has magical powers ."
star wars: episode vi - return of the jedi,action,"Luke Skywalker is preparing for battle against the Death Star . He 's waiting for General Calrissian , who orders his ships to retreat . The pisses 's captain says that they have no choice but to fight . Luke and his family are ready to face Vader . Yoda tells Luke that he must defeat Darth Vader again .","Luke Skywalker is preparing for battle against the Death Star . He 's waiting for General Calrissian , who orders his ships to retreat . The pisses 's captain says that they have no choice but to fight . Luke and his family are ready to face Vader . Yoda tells Luke that he must defeat Darth Vader again ."
hider in the house,thriller,"Bernard is a car salesman. He's looking for a pair of Reeboks for his girlfriend. He's not sure what kind of perfume she likes, but he'll just have to make her understand that it's for her. The relationship between a man and a woman has reached a delicate stage. It's time for the man to take some risks, his friend advises. He wants to make sure that she doesn't lose her. But he's afraid of losing her. He needs you to step up and show your affection.","Bernard is a clit salesman . He 's looking for a pair of Reeboks for his girlfriend . He 's not sure what kind of perfume she likes , but he 'll just have to make her understand that it 's for her . The fuckme between a man and a futanari has reached a delicate pornography . It 's sausagequeen for the man to take some penile , his futanari advises . He wants to make sure that she does n't lose her . But he 's afraid of losing her . He needs you to step up and show your affection ."
young frankenstein,comedy,"The story takes place in a small town. A man is trying to find his wife. He gets lost in the woods. He finds her and kisses her. They go on a walk. They talk about their lives. Frederick and Ayegor are preparing to go to bed. Delbruck is calling Frederick 'master', because he has a genius inside him.","The story takes place in a small town . A man is trying to find his wife . He gets lost in the muther . He finds her and kisses her . They go on a walk . They talk about their lives . Frederick and Ayegor are preparing to go to orgy . Delbruck is calling Frederick ' master ' , because he has a fistfucking inside him ."
event horizon,horror,"""The Event Horizon"" is a documentary film about the crew of the USS Event Horizon that explores the events that led to the ship's demise. The crew of the salvage vessel Starck tries to escape from the Event Horizon, but they are stopped by a force field that folds space and time, so that point A and point B coexist in the same space and time.",""" The Event Horizon "" is a documentary film about the crew of the USS Event Horizon that explores the events that led to the ship 's fuks . The boooobs of the salvage asses Starck tries to escape from the Event Horizon , but they are stopped by a force field that folds pubic and peepee , so that soused loin and point B homoerotic in the same bondage and time ."
trouble in paradise,comedy,"M'sieu Laval is going to ruin his reputation. He has no choice but to talk about it with M'sieu Giron, who is hired by Madame Laval. Madame Colet has just received a love letter from Major Laval. She is very excited about it, but she doesn't know how to open it. Then she finds her bag in a niche in the foyer and goes to the main staircase in the opera house. It's there that she finds her bag.","M'sieu Laval is going to ruin his reputation . He has no choice but to talk about it with M'sieu Giron , who is hired by Madame Laval . Madame Colet has just received a love ovary from Major Laval . She is very excited about it , but she does n't know how to open it . Then she finds her bag in a bukkake in the foyer and goes to the main staircase in the spick house . It 's there that she finds her bag ."
the man in the iron mask,action,"D'Artagnan and Aramis are traveling to the lez of Paris to meet King Louis XIII , who wants them to go on a hunting trip . Aramis has already decided to kill himself , so he asks D'Artagnan to take him along on the journey . Aramis then meets King Louis XIII , who orders Aramis to go with him to the sucking of the fucktrophy .","D'Artagnan and Aramis are traveling to the lez of Paris to meet King Louis XIII , who wants them to go on a hunting trip . Aramis has already decided to kill himself , so he asks D'Artagnan to take him along on the journey . Aramis then meets King Louis XIII , who orders Aramis to go with him to the sucking of the fucktrophy ."
the cider house rules,drama,"Homer Wells is picking apples for the family. He has been trained to be a surgeon, but his credentials are against the law. The board is going to replace him with a ""new blood,"" and that's what the ""new blood"" is for. His mother, Mrs. Goodhall, has sufficient Christian zeal to start her own country.","Homer Wells is picking apples for the pube . He has been trained to be a surgeon , but his kock are against the law . The twathead is going to replace him with a "" new butthole , "" and that 's what the "" new blood "" is for . His gspot , Mrs. Goodhall , has sufficient Christian weenie to start her own weenie ."
the graduate,comedy,"Benjamin Braddock is a successful businessman who has been in a relationship with Elaine Robinson for several years. He and Elaine have a son, Ben Jr., and a daughter, Elaine L. Robinson. They live together in a large house in the city. Ben has a son, Ben Jr., and a daughter, Elaine Robinson. They live together in a large house in the city.","Benjamin Braddock is a successful masterb8 who has been in a masterbate with Elaine Robinson for several years . He and Elaine have a slope , Ben Jr. , and a cunillingus , Elaine L. Robinson . They live together in a large house in the niggas . Ben has a son , Ben Jr. , and a niggers , Elaine Robinson . They live together in a large house in the twathead ."
